Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,JobLevel,JobRole,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
26,Yes,Travel_Rarely,Research & Development,8,3,2,Manager,157870,1,12,2,8,5,8,7,4
37,No,Travel_Frequently,Sales,9,1,1,Laboratory Technician,15140,1,14,0,4,3,4,1,2
42,No,Travel_Frequently,Sales,2,2,3,Research Director,29560,5,13,0,23,2,20,4,8
18,Yes,Travel_Rarely,Research & Development,1,4,1,Sales Executive,23350,1,14,2,0,3,0,0,0
35,No,Travel_Rarely,Sales,20,2,1,Laboratory Technician,51540,0,19,0,12,2,11,6,9
36,No,Travel_Frequently,Research & Development,8,3,3,Sales Executive,69620,4,12,2,4,2,1,0,0
51,No,Travel_Rarely,Research & Development,2,3,2,Laboratory Technician,56750,5,13,0,13,2,4,1,2
41,No,Travel_Rarely,Research & Development,29,1,1,Laboratory Technician,23790,1,12,0,22,6,22,0,4
18,No,Travel_Rarely,Sales,7,3,1,Research Scientist,38120,1,15,0,0,3,0,0,0
28,No,Travel_Rarely,Research & Development,9,3,1,Sales Representative,46480,0,23,2,9,2,8,0,7
31,No,Travel_Rarely,Research & Development,8,1,1,Manufacturing Director,29360,4,12,1,10,2,8,7,7
39,No,Travel_Rarely,Sales,5,4,2,Human Resources,21050,0,20,0,19,3,18,3,7
36,No,Non-Travel,Research & Development,5,4,1,Sales Executive,85780,7,21,0,11,4,9,0,8
32,No,Travel_Rarely,Sales,2,3,2,Laboratory Technician,27060,1,21,1,13,4,13,4,8
38,No,Travel_Rarely,Research & Development,5,2,3,Research Scientist,63840,3,19,2,19,4,10,0,1
58,No,Non-Travel,Research & Development,2,3,2,Manufacturing Director,39680,2,13,2,12,3,5,1,2
31,No,Travel_Rarely,Research & Development,20,1,3,Research Scientist,99070,0,13,1,6,3,5,0,3
31,No,Travel_Rarely,Sales,7,4,2,Sales Executive,132250,3,21,1,9,2,2,1,0
45,No,Travel_Frequently,Research & Development,3,1,1,Sales Executive,35400,1,13,0,24,6,24,9,11
31,No,Travel_Rarely,Sales,16,4,2,Research Scientist,28040,0,19,2,3,0,2,2,2
33,No,Travel_Frequently,Research & Development,9,3,4,Research Director,193920,6,12,1,12,3,10,8,8
39,No,Travel_Rarely,Sales,1,4,1,Sales Executive,196650,1,22,1,21,6,21,11,10
43,No,Travel_Frequently,Research & Development,7,4,4,Research Scientist,24390,0,15,0,9,2,8,1,7
49,No,Travel_Rarely,Research & Development,1,3,3,Manufacturing Director,73140,7,22,0,25,2,7,0,7
52,Yes,Travel_Rarely,Research & Development,7,1,2,Research Scientist,47740,2,18,1,11,2,8,7,7
27,No,Travel_Rarely,Research & Development,15,4,3,Research Scientist,39020,1,22,0,4,2,4,1,2
32,No,Travel_Rarely,Research & Development,1,3,3,Research Scientist,26620,1,11,1,13,6,13,11,9
27,No,Travel_Rarely,Research & Development,13,2,4,Research Director,28560,1,12,2,5,5,5,0,4
31,No,Travel_Rarely,Sales,24,3,2,Healthcare Representative,10810,4,11,3,13,4,7,1,7
32,No,Travel_Rarely,Research & Development,7,3,2,Healthcare Representative,24720,7,13,0,10,2,7,0,7
28,Yes,Travel_Rarely,Research & Development,9,4,1,Sales Executive,56730,5,14,1,5,4,3,2,2
30,No,Travel_Rarely,Research & Development,13,3,4,Research Director,41970,1,13,0,11,3,10,1,9
31,No,Travel_Frequently,Research & Development,2,1,1,Manager,97130,1,17,0,10,5,10,8,9
39,No,Travel_Frequently,Research & Development,19,4,1,Research Scientist,20620,1,13,0,21,4,21,13,3
39,Yes,Travel_Rarely,Research & Development,1,1,1,Laboratory Technician,42840,4,17,1,12,0,1,0,0
33,No,Travel_Frequently,Sales,4,2,4,Research Scientist,47880,3,11,1,9,0,7,0,1
47,No,Travel_Rarely,Research & Development,4,3,2,Healthcare Representative,59060,4,23,0,21,4,3,1,1
43,No,Travel_Frequently,Research & Development,14,3,5,Research Director,38860,1,17,2,9,2,9,0,0
27,No,Non-Travel,Research & Development,2,3,1,Research Director,168230,0,17,0,6,3,5,1,4
54,No,Travel_Frequently,Research & Development,1,4,2,Research Scientist,29330,3,12,2,20,2,4,0,3
43,No,Travel_Rarely,Research & Development,7,2,2,Manager,65000,8,23,0,10,3,1,0,0
45,No,Travel_Rarely,Sales,3,1,1,Sales Executive,171740,9,14,1,12,6,10,9,8
40,No,Travel_Rarely,Research & Development,2,4,4,Research Scientist,50330,2,14,2,6,6,4,0,2
29,Yes,Travel_Rarely,Research & Development,29,3,1,Research Scientist,23070,1,13,1,7,0,7,0,7
29,No,Travel_Rarely,Human Resources,8,3,3,Sales Representative,25870,0,22,2,4,3,3,2,2
30,No,Travel_Rarely,Research & Development,10,3,2,Research Scientist,55070,1,12,2,10,2,10,1,2
27,No,Travel_Rarely,Research & Development,11,2,1,Manager,43930,1,18,1,8,2,8,0,7
37,No,Travel_Rarely,Sales,1,4,2,Healthcare Representative,133480,7,14,0,8,4,6,0,4
38,No,Travel_Rarely,Research & Development,28,4,1,Laboratory Technician,65830,0,12,0,12,1,11,2,9
31,No,Travel_Rarely,Research & Development,6,3,3,Manager,81030,1,15,1,11,5,11,4,10
29,No,Travel_Rarely,Research & Development,3,4,3,Sales Executive,39780,1,11,0,7,0,7,1,7
35,No,Travel_Rarely,Sales,16,2,3,Manager,25440,0,13,1,17,3,16,0,13
23,No,Travel_Rarely,Research & Development,20,4,1,Manufacturing Director,53990,1,23,0,4,2,4,0,2
41,No,Travel_Rarely,Research & Development,9,2,1,Laboratory Technician,54870,6,19,2,8,0,5,1,2
47,No,Travel_Frequently,Sales,1,3,2,Laboratory Technician,68340,3,16,1,5,2,0,0,0
42,No,Travel_Rarely,Research & Development,3,4,1,Manager,10910,2,22,0,16,0,1,0,0
29,No,Non-Travel,Sales,22,4,2,Human Resources,57360,1,22,0,4,1,4,0,2
42,No,Travel_Rarely,Sales,7,4,3,Research Scientist,22260,0,12,1,4,3,3,1,0
32,No,Travel_Rarely,Research & Development,2,3,2,Research Scientist,57470,1,13,0,8,0,8,0,7
48,No,Travel_Rarely,Sales,13,4,4,Sales Executive,98540,3,16,1,15,2,0,0,0
37,No,Travel_Rarely,Research & Development,8,5,2,Manufacturing Director,54670,4,12,0,13,2,7,6,7
30,No,Non-Travel,Sales,25,4,1,Healthcare Representative,53800,7,21,1,4,0,2,2,2
26,No,Travel_Rarely,Sales,28,3,5,Laboratory Technician,51510,1,15,3,8,3,8,7,7
42,No,Travel_Rarely,Sales,2,2,1,Laboratory Technician,21330,3,13,2,14,2,1,0,0
21,Yes,Travel_Frequently,Research & Development,9,3,4,Manufacturing Director,178750,1,12,0,3,5,3,1,2
36,No,Non-Travel,Human Resources,28,3,2,Laboratory Technician,24320,4,22,0,7,4,1,0,0
36,No,Travel_Frequently,Research & Development,6,3,2,Research Scientist,47710,4,13,1,16,2,13,1,12
57,No,Travel_Rarely,Research & Development,21,4,5,Research Scientist,191610,2,18,0,15,2,3,1,2
40,No,Travel_Rarely,Research & Development,8,3,2,Sales Executive,50870,3,14,1,10,3,7,1,7
21,No,Non-Travel,Research & Development,1,5,2,Manager,28630,1,14,0,3,2,3,2,2
33,Yes,Travel_Rarely,Human Resources,28,2,5,Manager,55610,1,21,1,1,3,1,0,0
37,No,Travel_Rarely,Research & Development,5,3,4,Research Scientist,21440,6,19,0,17,3,5,0,3
46,No,Non-Travel,Sales,2,4,2,Laboratory Technician,30650,2,11,0,7,3,1,0,0
41,Yes,Travel_Frequently,Research & Development,16,1,1,Research Scientist,28100,1,11,0,8,3,8,7,7
50,No,Travel_Rarely,Research & Development,9,3,3,Laboratory Technician,98880,6,15,0,20,2,4,1,3
40,Yes,Travel_Rarely,Research & Development,8,3,1,Healthcare Representative,86280,2,20,0,8,2,6,1,0
31,No,Travel_Rarely,Research & Development,1,3,4,Human Resources,28670,0,24,0,3,5,2,2,2
21,Yes,Travel_Rarely,Human Resources,10,2,1,Laboratory Technician,53730,1,12,1,1,2,1,0,0
29,No,Travel_Rarely,Research & Development,1,3,2,Research Director,66670,9,12,1,6,6,3,1,2
35,No,Travel_Rarely,Research & Development,29,3,3,Sales Executive,50030,9,15,0,10,2,1,0,0
27,No,Travel_Rarely,Sales,2,3,1,Sales Executive,23670,1,12,1,5,2,5,0,4
28,No,Travel_Rarely,Research & Development,2,2,3,Manager,28580,1,12,0,7,2,7,0,7
49,No,Travel_Rarely,Sales,2,3,2,Manufacturing Director,52040,8,14,1,26,3,5,0,0
51,No,Travel_Rarely,Research & Development,1,2,1,Sales Executive,41050,4,22,1,18,2,7,0,7
36,No,Travel_Rarely,Sales,15,2,1,Sales Executive,96790,4,12,0,6,1,2,2,2
34,Yes,Non-Travel,Research & Development,7,3,1,Sales Representative,56170,8,25,1,9,3,5,0,4
55,No,Travel_Rarely,Sales,26,3,1,Laboratory Technician,104480,2,13,0,30,3,5,1,2
24,No,Travel_Rarely,Research & Development,1,3,5,Manager,28970,1,18,3,5,4,5,0,3
30,No,Travel_Rarely,Research & Development,3,3,2,Manager,59680,1,13,0,1,3,1,0,0
26,Yes,Travel_Frequently,Sales,14,3,2,Manager,75100,0,18,3,7,3,6,0,4
22,No,Travel_Rarely,Research & Development,16,5,1,Research Scientist,29910,1,19,2,2,3,2,1,2
36,No,Travel_Rarely,Research & Development,1,3,5,Healthcare Representative,196360,1,12,1,10,3,10,9,0
30,Yes,Travel_Frequently,Sales,3,2,3,Research Scientist,11290,9,19,0,3,2,1,0,0
37,No,Travel_Rarely,Research & Development,10,1,1,Sales Executive,133410,1,14,1,18,3,18,12,17
40,No,Travel_Rarely,Research & Development,6,2,3,Research Scientist,43320,7,14,2,8,3,5,1,3
42,No,Travel_Rarely,Research & Development,2,3,4,Manager,110310,3,12,1,8,2,5,1,2
37,No,Travel_Rarely,Sales,9,1,3,Sales Executive,44400,2,11,1,18,3,1,0,1
43,No,Travel_Rarely,Sales,10,2,1,Sales Executive,46170,1,11,0,25,2,25,3,9
40,No,Travel_Rarely,Sales,6,2,1,Laboratory Technician,26470,6,13,0,20,2,1,0,0
54,No,Travel_Rarely,Human Resources,9,3,2,Manufacturing Director,63230,4,23,1,24,2,4,1,2
34,No,Non-Travel,Research & Development,28,3,1,Laboratory Technician,56770,9,20,1,6,3,3,1,2
31,No,Travel_Rarely,Research & Development,10,4,3,Sales Executive,21870,1,15,1,13,2,13,3,12
43,No,Travel_Rarely,Sales,27,4,2,Sales Representative,39770,4,18,1,8,3,5,0,2
25,No,Travel_Rarely,Human Resources,7,2,1,Manufacturing Director,86330,1,19,1,5,2,5,1,3
37,No,Non-Travel,Research & Development,1,3,3,Laboratory Technician,20080,3,22,0,15,5,13,10,7
31,No,Travel_Rarely,Research & Development,24,1,3,Laboratory Technician,44400,1,13,1,4,2,4,3,2
39,No,Travel_Frequently,Research & Development,26,4,1,Sales Executive,30670,1,20,1,21,5,21,1,6
56,No,Travel_Frequently,Research & Development,20,4,3,Sales Executive,53210,9,14,0,36,1,7,7,7
30,No,Travel_Rarely,Sales,5,4,2,Manufacturing Director,54100,0,17,1,6,2,5,4,4
41,No,Travel_Rarely,Research & Development,7,3,3,Research Scientist,27820,1,14,0,10,2,10,0,7
28,No,Travel_Rarely,Research & Development,7,3,3,Healthcare Representative,119570,1,13,0,10,2,10,1,8
25,Yes,Travel_Rarely,Research & Development,5,2,3,Laboratory Technician,26600,5,13,0,6,3,2,0,2
52,No,Travel_Rarely,Research & Development,26,2,2,Sales Representative,33750,2,21,0,28,2,5,0,4
45,No,Travel_Rarely,Research & Development,2,3,1,Sales Executive,50980,3,14,1,8,4,2,0,2
52,No,Travel_Rarely,Research & Development,12,3,2,Research Scientist,48780,2,11,1,31,3,5,1,4
42,No,Travel_Frequently,Sales,10,3,2,Healthcare Representative,28370,2,13,1,19,0,5,0,2
30,No,Travel_Rarely,Sales,25,3,1,Sales Executive,24060,2,20,1,11,5,5,0,2
60,No,Travel_Rarely,Research & Development,10,3,1,Manufacturing Director,22690,5,18,1,33,4,29,11,10
46,No,Travel_Rarely,Sales,19,4,1,Sales Executive,41080,2,14,0,19,5,10,0,8
42,No,Travel_Frequently,Research & Development,18,4,4,Sales Executive,132060,0,13,2,7,2,6,0,4
24,Yes,Travel_Rarely,Research & Development,27,2,1,Research Scientist,104220,1,17,1,6,0,5,1,4
34,Yes,Travel_Frequently,Research & Development,5,3,2,Research Scientist,137440,0,20,1,3,3,2,1,0
38,No,Travel_Frequently,Sales,3,3,2,Sales Executive,49070,1,11,1,1,3,1,0,0
40,No,Travel_Rarely,Sales,26,4,1,Sales Executive,34820,0,18,1,21,2,20,1,12
26,No,Travel_Rarely,Research & Development,3,2,4,Healthcare Representative,24360,1,24,0,3,2,3,0,2
30,No,Non-Travel,Research & Development,15,3,2,Sales Executive,23800,4,18,3,9,2,5,1,4
29,No,Travel_Rarely,Research & Development,8,3,3,Manufacturing Director,194310,1,11,0,10,3,10,0,7
29,Yes,Travel_Rarely,Research & Development,19,4,3,Research Scientist,17900,5,16,1,6,4,2,1,1
19,Yes,Travel_Rarely,Research & Development,4,3,1,Sales Executive,76440,1,15,2,1,2,1,0,0
30,No,Non-Travel,Research & Development,2,4,3,Research Scientist,51310,0,15,1,10,2,9,7,8
57,No,Travel_Rarely,Research & Development,2,2,4,Research Scientist,63060,3,12,1,32,3,1,0,0
50,No,Travel_Rarely,Sales,10,4,3,Manager,47870,0,12,0,28,3,27,15,7
30,No,Non-Travel,Sales,10,2,3,Laboratory Technician,188800,0,22,1,12,3,11,6,7
60,No,Travel_Frequently,Research & Development,16,3,4,Laboratory Technician,23390,4,20,0,22,4,18,13,11
47,No,Travel_Rarely,Research & Development,1,3,5,Manufacturing Director,135700,5,16,2,20,2,5,0,4
46,No,Travel_Rarely,Sales,4,1,1,Laboratory Technician,67120,6,21,1,26,3,3,0,1
35,No,Travel_Rarely,Research & Development,15,2,2,Laboratory Technician,54060,0,12,1,6,2,5,4,3
54,No,Travel_Rarely,Research & Development,2,4,2,Human Resources,89380,7,11,3,19,2,1,0,0
34,No,Travel_Rarely,Sales,8,2,1,Laboratory Technician,24390,3,11,2,14,2,7,5,7
46,No,Travel_Rarely,Research & Development,2,3,1,Healthcare Representative,88370,2,18,0,15,3,3,1,2
31,No,Travel_Rarely,Research & Development,7,3,2,Research Director,53430,1,14,1,13,3,13,0,8
33,Yes,Travel_Rarely,Research & Development,10,3,4,Research Director,67280,7,22,0,15,2,7,7,7
33,Yes,Travel_Rarely,Sales,5,4,2,Research Director,66520,7,25,0,8,5,4,1,3
30,No,Travel_Rarely,Research & Development,2,3,1,Sales Executive,48500,0,12,1,4,4,3,1,2
35,No,Travel_Rarely,Research & Development,12,2,2,Sales Representative,28090,4,23,1,10,2,8,0,0
31,Yes,Travel_Frequently,Research & Development,22,2,2,Sales Executive,56890,3,15,2,12,2,1,0,0
34,Yes,Travel_Frequently,Sales,17,1,1,Research Director,20010,9,22,1,11,5,3,0,2
42,No,Travel_Frequently,Research & Development,2,4,1,Research Scientist,29770,4,15,3,8,3,2,2,0
36,No,Non-Travel,Research & Development,3,4,1,Research Scientist,40250,1,11,0,10,3,10,9,7
22,Yes,Travel_Frequently,Research & Development,7,3,2,Laboratory Technician,37850,5,13,2,4,2,2,1,2
48,No,Travel_Rarely,Research & Development,6,3,1,Laboratory Technician,108540,2,14,1,14,6,9,6,7
55,No,Travel_Rarely,Research & Development,1,3,1,Sales Executive,120310,3,11,0,37,5,10,7,7
41,No,Non-Travel,Research & Development,3,2,2,Research Scientist,99360,7,17,1,16,2,14,1,10
35,No,Travel_Rarely,Research & Development,22,3,1,Sales Representative,29660,9,18,0,15,2,11,6,9
40,No,Travel_Rarely,Research & Development,15,3,2,Laboratory Technician,25710,7,14,0,22,1,20,5,13
39,No,Travel_Frequently,Research & Development,12,1,1,Research Scientist,99910,1,16,1,8,3,8,0,7
31,No,Travel_Rarely,Research & Development,1,4,3,Research Director,61420,4,13,2,10,2,6,0,5
42,No,Travel_Rarely,Research & Development,5,3,3,Sales Executive,53900,1,14,0,10,3,10,5,8
45,No,Travel_Rarely,Research & Development,2,1,4,Sales Executive,44040,0,23,0,9,2,8,3,7
26,Yes,Travel_Frequently,Research & Development,2,1,2,Laboratory Technician,59930,0,12,0,8,3,7,1,0
29,No,Travel_Rarely,Research & Development,5,3,1,Research Scientist,51300,4,11,0,8,3,3,1,2
33,No,Travel_Rarely,Research & Development,16,3,1,Laboratory Technician,20900,4,16,0,10,2,6,0,5
31,No,Travel_Rarely,Research & Development,2,4,1,Sales Executive,29090,9,14,2,10,2,5,0,1
18,Yes,Travel_Frequently,Research & Development,2,3,1,Sales Executive,34680,1,18,2,0,4,0,0,0
40,No,Non-Travel,Research & Development,1,4,2,Laboratory Technician,30680,3,19,0,20,3,1,0,1
41,No,Non-Travel,Research & Development,23,3,2,Manufacturing Director,26700,2,15,2,10,2,8,0,7
26,No,Travel_Rarely,Research & Development,9,4,3,Healthcare Representative,26930,5,17,3,8,3,0,0,0
35,No,Travel_Rarely,Research & Development,16,4,2,Human Resources,95260,1,15,0,5,2,5,0,3
34,No,Travel_Rarely,Research & Development,26,3,1,Laboratory Technician,52370,1,19,1,10,3,10,5,7
26,Yes,Travel_Rarely,Sales,1,3,2,Manufacturing Director,24260,1,22,0,1,3,1,0,0
37,No,Travel_Rarely,Research & Development,8,1,1,Sales Executive,41930,4,16,1,12,5,6,1,2
46,No,Travel_Frequently,Research & Development,4,1,5,Human Resources,29110,5,13,0,28,3,2,1,2
41,No,Travel_Rarely,Research & Development,24,1,1,Research Director,26610,7,14,1,22,2,18,11,8
37,No,Non-Travel,Research & Development,7,2,1,Sales Executive,20280,1,16,1,9,3,9,7,7
32,Yes,Non-Travel,Research & Development,7,2,2,Research Director,32980,8,22,0,6,4,4,1,2
24,No,Travel_Frequently,Sales,22,3,1,Healthcare Representative,29350,0,14,2,3,5,2,2,1
38,No,Travel_Rarely,Research & Development,5,3,1,Research Scientist,154270,3,16,1,18,2,1,0,0
37,No,Travel_Rarely,Research & Development,1,4,5,Research Scientist,39440,6,11,2,8,3,6,4,3
49,No,Travel_Rarely,Sales,21,1,1,Sales Executive,40110,1,18,2,31,2,31,0,9
24,No,Travel_Rarely,Sales,1,3,1,Sales Executive,34070,1,15,2,6,2,6,1,4
26,No,Travel_Rarely,Research & Development,19,4,4,Sales Executive,119940,1,14,1,6,6,5,1,4
24,No,Travel_Rarely,Sales,7,3,1,Laboratory Technician,12320,1,12,0,1,4,1,0,0
50,No,Travel_Frequently,Sales,2,2,1,Sales Executive,29600,1,14,3,32,2,32,10,7
25,No,Travel_Rarely,Research & Development,2,3,1,Research Scientist,190940,1,16,0,7,3,7,0,6
24,Yes,Travel_Frequently,Research & Development,2,3,2,Research Scientist,39190,1,21,0,6,3,6,1,2
30,Yes,Travel_Frequently,Research & Development,9,3,2,Healthcare Representative,68250,1,14,0,1,2,1,0,0
34,No,Travel_Rarely,Sales,6,2,4,Research Director,102480,1,12,1,6,4,6,1,3
31,Yes,Travel_Rarely,Research & Development,9,1,1,Sales Representative,189470,2,12,2,9,2,3,1,2
35,No,Travel_Rarely,Research & Development,2,3,5,Sales Executive,24960,4,17,3,9,3,3,0,2
31,No,Travel_Rarely,Sales,1,3,2,Sales Executive,64650,4,17,0,13,3,7,5,7
27,No,Travel_Rarely,Sales,22,4,1,Sales Representative,22060,0,14,1,6,4,5,0,3
37,No,Travel_Rarely,Sales,9,4,2,Laboratory Technician,20860,4,14,0,17,3,3,1,0
20,No,Travel_Rarely,Research & Development,17,4,1,Sales Representative,22930,1,13,2,1,3,1,0,0
42,No,Travel_Rarely,Research & Development,28,4,2,Manufacturing Director,26450,1,15,0,10,5,10,2,2
43,No,Travel_Rarely,Research & Development,10,5,2,Sales Executive,26830,4,11,0,21,3,1,0,0
38,No,Travel_Rarely,Human Resources,2,4,1,Human Resources,20140,3,17,1,8,5,0,0,0
43,No,Travel_Frequently,Sales,4,3,2,Healthcare Representative,34190,3,11,1,10,5,8,4,7
48,No,Travel_Rarely,Research & Development,8,1,2,Laboratory Technician,53760,7,13,1,21,3,3,0,2
44,No,Travel_Rarely,Sales,29,4,2,Sales Executive,19510,4,22,3,10,4,2,0,2
34,No,Travel_Rarely,Research & Development,13,4,1,Laboratory Technician,23410,1,20,2,8,3,8,0,6
27,Yes,Travel_Rarely,Sales,27,3,2,Research Scientist,22930,0,18,0,5,0,4,0,2
21,No,Travel_Rarely,Sales,16,2,3,Sales Executive,87260,1,11,1,3,2,3,1,2
44,No,Travel_Rarely,Research & Development,2,2,1,Laboratory Technician,40110,4,14,1,26,2,2,0,1
22,No,Travel_Rarely,Research & Development,2,2,2,Laboratory Technician,195450,0,14,0,3,3,2,2,2
33,No,Travel_Rarely,Sales,13,4,2,Manufacturing Director,45680,0,18,1,6,2,5,1,2
32,No,Travel_Rarely,Research & Development,1,1,1,Healthcare Representative,30220,1,16,1,6,3,6,0,5
30,No,Travel_Frequently,Research & Development,4,5,3,Manager,57720,1,17,0,1,3,1,0,0
53,No,Travel_Rarely,Research & Development,24,3,3,Manager,22690,7,11,1,18,2,14,8,10
34,No,Travel_Rarely,Research & Development,1,5,1,Research Scientist,53810,1,12,0,10,0,10,8,8
45,Yes,Travel_Frequently,Research & Development,19,4,3,Research Director,34410,2,13,1,5,5,1,0,0
26,No,Travel_Rarely,Research & Development,7,2,1,Manufacturing Director,54540,1,13,1,3,5,3,0,2
37,No,Travel_Rarely,Research & Development,4,3,1,Manager,98840,1,14,0,10,3,10,7,8
29,No,Travel_Rarely,Research & Development,2,3,1,Healthcare Representative,41570,1,17,3,6,2,6,1,2
35,No,Travel_Rarely,Research & Development,10,5,4,Laboratory Technician,134580,1,11,0,17,3,17,11,8
33,No,Travel_Frequently,Research & Development,8,3,2,Laboratory Technician,90690,3,25,1,15,3,13,4,7
54,No,Travel_Rarely,Research & Development,5,2,2,Sales Executive,40140,2,19,1,16,4,9,7,1
36,No,Travel_Rarely,Research & Development,8,3,2,Research Scientist,59150,2,13,1,13,3,3,0,2
27,No,Travel_Rarely,Sales,9,3,5,Research Director,59930,0,14,1,5,3,4,1,1
20,Yes,Travel_Rarely,Research & Development,1,3,5,Sales Representative,61620,1,12,3,1,2,1,1,1
33,Yes,Travel_Frequently,Research & Development,15,4,1,Laboratory Technician,24060,1,11,0,10,3,10,9,7
35,No,Non-Travel,Research & Development,2,1,1,Research Scientist,187400,1,19,1,1,2,1,0,0
23,No,Travel_Rarely,Research & Development,2,3,1,Healthcare Representative,76370,2,11,1,5,3,3,0,2
25,No,Travel_Rarely,Research & Development,11,3,2,Manufacturing Director,100960,0,11,1,4,3,3,1,2
38,No,Travel_Rarely,Research & Development,16,3,5,Research Scientist,147560,0,20,1,8,3,7,0,5
29,No,Travel_Frequently,Sales,2,4,4,Healthcare Representative,64990,1,18,3,10,3,10,2,8
48,No,Travel_Rarely,Research & Development,16,3,1,Sales Executive,97240,3,13,0,12,2,2,2,2
27,No,Travel_Frequently,Sales,4,3,5,Laboratory Technician,21940,1,12,0,6,5,6,0,4
37,No,Travel_Rarely,Research & Development,16,3,3,Manager,33880,3,11,0,4,2,1,0,0
50,No,Travel_Rarely,Sales,5,3,1,Laboratory Technician,54730,1,19,1,20,2,20,3,8
34,No,Travel_Rarely,Research & Development,18,1,1,Healthcare Representative,27030,1,21,1,9,2,8,7,7
24,Yes,Travel_Rarely,Research & Development,17,2,1,Healthcare Representative,25010,9,12,0,4,3,2,2,0
39,No,Travel_Rarely,Research & Development,12,5,1,Sales Representative,62200,1,14,2,20,2,20,11,10
32,No,Travel_Rarely,Research & Development,2,3,5,Research Scientist,30380,1,11,0,10,5,10,0,8
50,Yes,Travel_Frequently,Research & Development,4,2,4,Sales Representative,44240,3,14,1,18,2,4,1,3
